,optimised,unoptimised,percent_change
0,107470,21110,409.1
0,116310,17680,557.86
0,109730,23310,370.74
0,114020,18310,522.72
0,111560,19270,478.93
0,115990,21030,451.55
0,112120,16110,595.97
0,111770,21980,408.51
0,116780,32520,259.1
0,110440,40600,172.02
0,110630,29960,269.26
0,110300,26590,314.82
0,117920,28100,319.64
0,112400,25160,346.74
0,110830,35160,215.22
0,111650,34110,227.32
0,113760,24350,367.19
0,109680,22830,380.42
0,116620,24330,379.33
0,117750,34170,244.6
